OBJECTID,postcode,Shape_Area
1,PO1 1ED,6996.48089274000
2,PO1 1HT,10909.60474330000
3,PO1 3GX,60492.23205000000
4,PO1 3LH,7202.05156234000
5,PO1 3ND,13574.66015110000
6,PO1 3NS,172263.43058000000
7,PO1 3NT,42299.08477030000
8,PO1 4AQ,2530.56513269000
9,PO1 4AX,2834.46903540000
10,PO1 4AY,8915.67650660000
11,PO1 4AZ,1557.69641067000
12,PO1 4BD,3879.43869200000
13,PO1 4BP,8016.79143515000
14,PO1 4BS,11937.50426210000
15,PO1 4BT,17827.65172150000
16,PO1 4BU,2271.04352289000
17,PO1 4BX,3077.71959729000
18,PO1 4DA,8642.33637287000
19,PO1 4DB,2912.48719638000
20,PO1 4DD,5962.79536968000
21,PO1 4DE,2484.50065418000
22,PO1 4DF,7429.06169302000
23,PO1 4DG,1129.51005634000
24,PO1 4DT,257.17004158000
25,PO1 4DY,5565.67112251000
26,PO1 4DZ,1672.60110425000
27,PO1 4EB,1485.58176389000
28,PO1 4ED,1199.43712585000
29,PO1 4EG,3558.98797727000
30,PO1 4EH,2058.69965415000
31,PO1 4EJ,4302.95570722000
32,PO1 4HA,5358.74319318000
33,PO1 4HF,2725.81848760000
34,PO1 4HG,421.77446144400
35,PO1 4HL,1856.29622604000
36,PO1 4HP,8605.23357570000
37,PO1 4HR,7452.29143464000
38,PO1 4HX,1172.91209359000
39,PO1 4JA,5208.50427085000
40,PO1 4JL,12570.71654630000
41,PO1 4LB,1300.92068570000
42,PO1 4LD,1211.62542595000
43,PO1 4LG,1645.14987255000
44,PO1 4LH,2317.03106573000
45,PO1 4LL,3980.44061004000
46,PO1 4LN,3564.40730694000
47,PO1 4LP,4980.91974284000
48,PO1 4LQ,856.32008707000
49,PO1 4LR,5393.33343156000
50,PO1 4LS,8515.90755731000
51,PO1 4LT,4417.52820312000
52,PO1 4LU,4650.36436024000
53,PO1 4LW,3084.52836355000
54,PO1 4LX,3046.81227451000
55,PO1 4LY,2509.01667147000
56,PO1 4LZ,709.93359422100
57,PO1 4NB,9029.12514034000
58,PO1 4ND,3251.06603442000
59,PO1 4NE,1160.85591940000
60,PO1 4NF,2937.43859267000
61,PO1 4NG,1439.71558015000
62,PO1 4NH,1464.05424043000
63,PO1 4NJ,1711.79324222000
64,PO1 4NL,4882.91736866000
65,PO1 4NN,1365.56996747000
66,PO1 4NP,2231.60461179000
67,PO1 4NQ,3547.53525636000
68,PO1 4NR,1180.92532967000
69,PO1 4NS,1848.80953261000
70,PO1 4NT,2010.00258258000
71,PO1 4NU,545.06026485000
72,PO1 4NX,8704.29559115000
73,PO1 4PA,7929.27043535000
74,PO1 4PE,2543.65317916000
75,PO1 4PF,710.43856342200
76,PO1 4PG,3783.13073498000
77,PO1 4PL,3723.61469524000
78,PO1 4PN,32568.80185730000
79,PO1 4PQ,2426.46192620000
80,PO1 4PS,6906.96897999000
81,PO1 4PT,2632.59024404000
82,PO1 4PX,3201.07571172000
83,PO1 4QA,1161.64002942000
84,PO1 4QB,3759.84707744000
85,PO1 4QG,5402.20358747000
86,PO1 4QH,3005.17929688000
87,PO1 4QJ,3665.77478587000
88,PO1 4QL,5192.82449003000
89,PO1 4QP,22973.27932390000
90,PO1 4QR,13682.78672270000
91,PO1 4QS,5848.30456430000
92,PO1 5RX,1217.97438335000
93,PO1 5RZ,8190.83303804000
94,PO2 0LH,2501.86089729000
95,PO2 7AB,567.10693364500
96,PO2 7AD,6527.85640384000
97,PO2 7AE,86142.60954350000
98,PO2 7AH,732.54127688000
99,PO2 7AJ,2560.52862763000
100,PO2 7AL,2420.70055660000
101,PO2 7AN,30463.93862820000
102,PO2 7AP,3836.70474352000
103,PO2 7AR,1288.61040704000
104,PO2 7AS,3349.66645811000
105,PO2 7AT,2708.34294659000
106,PO2 7AU,7375.03320409000
107,PO2 7AX,7445.34136825000
108,PO2 7AY,4394.96232914000
109,PO2 7AZ,81.35741032800
110,PO2 7BA,10144.03462560000
111,PO2 7BB,10224.76608440000
112,PO2 7BE,1713.08638499000
113,PO2 7BG,4707.70655142000
114,PO2 7BH,1597.98298282000
115,PO2 7BJ,5249.60530915000
116,PO2 7BL,4123.64124298000
117,PO2 7BQ,2683.91306785000
118,PO2 7BS,7184.39400660000
119,PO2 7BU,576.40875890000
120,PO2 7BW,2669.71396113000
121,PO2 7BX,9038.55656496000
122,PO2 7BZ,11529.47710520000
123,PO2 7DA,13795.29753870000
124,PO2 7DB,3902.47847516000
125,PO2 7DD,2151.66245978000
126,PO2 7DE,8428.01073544000
127,PO2 7DF,5893.02230516000
128,PO2 7DH,2437.10358465000
129,PO2 7DL,4318.98190878000
130,PO2 7DN,8191.48462700000
131,PO2 7DP,5978.55558983000
132,PO2 7DQ,3999.62915231000
133,PO2 7DX,3664.23057778000
134,PO2 7DZ,2151.14714691000
135,PO2 7EA,2311.72581599000
136,PO2 7EB,1958.64353265000
137,PO2 7EE,630.72976104600
138,PO2 7EF,4883.20341455000
139,PO2 7EG,2760.32346768000
140,PO2 7EH,8273.61664695000
141,PO2 7EN,2157.24619599000
142,PO2 7EP,3089.49333485000
143,PO2 7EQ,387.76014414300
144,PO2 7ER,2148.83942977000
145,PO2 7EX,5182.16713486000
146,PO2 7EY,1465.56812873000
147,PO2 7EZ,3724.19719402000
148,PO2 7FA,711.07656708700
149,PO2 7FB,843.04580396800
150,PO2 7FH,346.01936094800
151,PO2 7FL,1989.92431731000
152,PO2 7HA,9319.81111374000
153,PO2 7HB,9483.94059738000
154,PO2 7HE,14164.85404410000
155,PO2 7HF,16409.50523820000
156,PO2 7HG,2534.99776893000
157,PO2 7HL,1475.32426503000
158,PO2 7HQ,5182.22807236000
159,PO2 7JD,1798.41420371000
160,PO2 7LH,3696.09138245000
161,PO2 7LJ,5521.50093144000
162,PO2 7LL,3787.52743210000
163,PO2 7LN,726.31382604900
164,PO2 7LR,2961.64500869000
165,PO2 7LS,5928.71631370000
166,PO2 7LW,937.25311348100
167,PO2 7NU,832.31002116100
168,PO2 7PD,7268.99455159000
169,PO2 7QG,7883.27624592000
170,PO2 7QH,30755.03249930000
171,PO2 7QQ,1099.56630079000
172,PO2 7SB,8184.62933393000
173,PO2 7SG,1329.75601172000
174,PO2 7SH,4031.25556269000
175,PO2 7SJ,1143.68355963000
176,PO2 7SL,2086.74382173000
177,PO2 7SN,3857.81013474000
178,PO2 7SP,435164.78589800000
179,PO2 7SQ,3134.71550161000
180,PO2 7ST,5244.83192034000
181,PO2 7SU,953.90312850000
182,PO2 7SW,1130.36324102000
183,PO2 7SX,1853.29167260000
184,PO2 7TA,1307.43583609000
185,PO2 8AA,7122.96006489000
186,PO2 8AB,2378.50830668000
187,PO2 8AL,5576.71126194000
188,PO2 8AQ,10468.88496200000
189,PO2 8AS,12428.22883550000
190,PO2 8AT,6733.28435806000
191,PO2 8AU,625.45099285100
192,PO2 8BU,3127.51113699000
193,PO2 8DH,13724.49875390000
194,PO2 8DR,30000.52975390000
195,PO2 8FA,2831.54210280000
196,PO2 8HB,76185.77521620000
197,PO2 8NA,16411.06693460000
198,PO2 8RU,2521.08780846000
199,PO2 8RW,29439.12182430000
200,VPO01107,99.98299652090
201,VPO01229,100.02764851000
202,VPO01260,99.98399623860
203,VPO01290,99.98399664860
204,VPO01497,99.98299653030
205,VPO01824,100.08500936500
206,VPO01854,99.98399623860
207,VPO01873,99.90201958950
